v1,v2,v3
28,113,54
29,113,55
29,118,54
28,114,55
27,123,54
28,116,52
28,110,54
28,112,55
29,106,51
28,112,52
27,108,53
29,111,54
28,113,53
28,107,52
26,110,51
27,105,52
28,102,51
29,105,51
28,99,52
28,100,51
27,97,51
27,99,51
29,97,50
28,95,51
27,100,48
28,95,50
28,91,49
28,95,49
28,92,50
28,93,49
27,93,49
29,89,49
29,94,49
26,90,47
28,91,48
28,90,48
28,103,49
27,104,48
28,98,48
28,106,47
27,106,47
26,105,47
28,111,47
28,110,48
26,111,48
28,108,48
28,111,47
28,113,47
28,108,47
28,112,48
28,106,49
27,106,47
28,110,47
28,102,47
27,104,46
28,102,47
28,109,48
27,117,47
28,114,47
28,117,47
29,125,46
28,127,47
28,132,48
26,136,48
28,141,48
28,137,48
27,139,47
27,144,47
29,142,47
27,145,48
27,146,47
27,158,47
27,161,46
29,157,47
28,157,47
28,152,47
27,153,46
28,151,48
28,153,48
27,152,48
27,144,47
28,142,46
27,147,47
28,144,46
29,149,47
27,146,47
27,142,46
28,148,47
28,148,47
27,152,47
28,51,54
27,49,55
28,51,53
27,50,53
28,50,53
27,58,53
28,52,52
29,56,53
28,52,53
27,53,53
27,57,51
29,54,53
27,56,50
26,52,52
27,52,51
28,53,52
27,52,50
26,54,50
28,53,50
27,55,49
28,54,51
27,51,50
27,52,49
27,51,48
27,51,48
27,49,49
26,50,48
27,52,48
27,50,48
27,51,47
27,50,49
27,49,48
26,53,46
28,51,47
27,54,48
28,53,47
26,51,47
27,50,48
27,51,47
27,50,47
28,50,47
27,52,47
28,53,46
27,51,46
27,51,47
27,53,46
28,52,48
26,56,47
28,55,47
28,53,46
26,54,47
27,55,46
27,51,47
26,53,46
27,55,46
27,57,46
27,52,47
27,55,47
27,58,46
27,56,47
27,59,45
27,54,46
26,59,45
27,56,47
26,58,46
27,56,47
28,53,47
28,58,47
28,54,45
27,53,46
27,52,47
27,50,46
27,53,47
28,49,46
27,50,46
26,52,46
27,49,47
27,49,44
28,49,47
27,45,46
27,51,45
26,51,47
26,47,46
26,50,46
28,47,45
27,50,46
27,51,47
27,49,46
26,52,45
27,49,45
29,111,54
29,105,54
30,109,53
28,106,54
28,116,53
29,119,52
28,126,54
29,126,53
29,126,52
27,119,52
28,116,51
29,115,52
29,123,51
30,117,52
28,119,49
30,112,37
28,106,53
29,107,51
29,110,51
28,105,48
27,106,50
27,102,51
28,99,49
29,99,50
28,99,47
28,100,49
29,109,48
28,107,47
28,103,47
27,106,46
27,106,48
27,102,47
30,102,49
29,106,45
28,113,44
28,116,46
28,109,45
30,110,46
28,108,47
28,106,46
29,103,47
29,109,45
29,106,45
28,109,48
30,106,46
29,112,45
29,105,48
28,105,45
29,102,46
29,95,45
29,94,47
29,103,45
27,99,47
28,99,48
29,99,49
27,98,49
30,96,48
29,99,49
30,100,48
28,103,51
28,103,50
29,112,51
29,107,51
28,109,50
29,111,52
27,114,52
28,111,51
28,110,49
29,109,53
28,104,53
28,109,52
28,111,52
27,112,52
28,110,50
29,107,54
27,113,53
28,113,53
27,109,52
28,107,52
28,113,54
29,110,53
29,110,52
27,116,53
27,121,53
30,121,52
29,116,52
28,119,52
27,122,51
28,124,52
28,123,50
30,274,54
31,288,55
28,272,55
29,286,56
30,300,54
29,284,55
30,282,54
29,277,55
29,265,53
29,257,53
30,243,53
29,240,54
28,234,53
28,219,43
30,220,52
28,207,52
29,208,52
29,205,51
30,193,52
26,191,51
28,184,50
29,184,49
28,181,51
28,185,51
28,188,49
29,180,50
30,199,49
29,190,49
30,188,50
29,192,48
30,183,48
29,193,48
30,188,49
29,195,48
29,195,47
29,185,49
31,236,47
32,350,48
34,449,48
36,481,47
36,490,47
36,475,47
34,439,47
34,417,46
34,437,47
34,420,48
33,415,46
33,399,46
31,375,48
32,357,46
32,328,47
31,318,47
31,304,46
30,285,47
30,282,47
30,262,47
30,264,46
30,253,46
30,260,47
29,260,46
29,243,46
29,245,46
29,238,47
28,232,46
29,236,46
29,219,47
29,230,46
30,221,46
29,217,47
29,229,46
28,214,46
30,218,46
30,214,46
30,216,45
29,215,47
28,204,45
30,204,46
28,205,47
28,199,48
29,204,48
29,194,47
29,199,47
29,201,49
29,198,49
28,207,50
30,202,50
29,211,51
28,205,50
28,206,51
29,238,51
27,126,53
28,111,54
28,117,53
29,121,53
29,111,54
30,110,54
30,107,54
29,107,53
28,115,53
29,112,53
27,117,52
28,112,52
29,108,52
28,105,51
28,107,51
28,104,50
27,102,51
28,102,51
29,101,51
27,103,51
28,101,50
27,101,49
30,99,49
29,102,50
29,94,49
29,97,49
28,107,50
27,103,47
29,107,49
29,101,49
27,103,48
28,97,47
28,98,46
27,101,46
28,98,47
29,101,48
28,96,48
28,98,43
29,95,47
27,92,47
28,96,47
29,93,46
27,97,45
27,102,45
29,93,47
29,93,45
28,91,47
27,97,47
27,101,47
29,97,48
27,98,47
28,93,48
29,91,49
28,97,49
28,100,49
27,102,50
28,103,50
29,101,50
27,101,49
28,103,50
27,105,52
27,98,52
29,102,54
29,104,51
28,104,51
28,107,52
28,105,53
27,107,51
29,105,52
26,108,53
29,106,54
29,107,54
28,114,52
26,119,53
27,112,54
29,115,54
28,123,52
